subject_num,iteration,c7_disp/cm,sa_disp/cm,time/s,accuracy/cm,parameter,cost
4,66,7.67,4.2,1.6,0.34,1.74,38.2
4,67,7.93,4.55,1.67,0.3,1.79,41.8
4,68,8.14,4.5,1.44,0.11,1.83,43.23
4,69,6.93,4.59,1.83,0.36,1.83,34.53
4,70,7.72,4.38,1.64,0.45,1.79,39.37
4,71,7.93,4.32,1.62,0.4,1.73,40.76
4,72,5.87,4.4,1.76,0.46,1.68,26.87
4,73,9.14,4.36,1.75,0.34,1.68,51.26
4,74,9.3,4.94,1.61,0.29,1.72,55.44
4,75,8.93,4.5,1.3,1.19,1.78,49.97
4,76,7.4,4.44,1.38,0.45,1.82,37.23
4,77,8.35,3.77,1.63,0.34,1.82,41.96
4,78,6.45,3.95,1.5,0.34,1.78,28.57
4,79,6.61,5.16,1.73,0.33,1.72,35.13
4,80,7.72,4.53,2.02,0.19,1.68,40.06
5,1,13.47,4.31,3.2,0.41,1,99.94
5,2,12.39,4.98,4.82,0.37,1.03,89.17
5,3,8.2,2.12,2.84,0.36,1.04,35.91
5,4,6.63,2.52,3.32,0.29,1.09,25.19
5,5,7.24,3.71,2.39,0.39,1.12,33.05
5,6,3.75,5.79,2.68,0.24,1.1,23.76
5,7,5.38,5.91,2.19,0.39,1.09,31.91
5,8,3,4.79,2.19,0.23,1.13,15.97
5,9,2.63,5.16,2.5,0.7,1.2,16.76
5,10,1.78,3.66,2.99,0.23,1.31,8.29
5,11,2.81,4.21,2.44,0.42,1.45,12.83
5,12,1.22,3.34,2.48,0.29,1.56,6.33
5,13,1.03,5.44,2.78,0.44,1.61,15.31
5,14,-2.34,3.85,3.06,0.4,1.61,10.16
5,15,0.05,3.55,2.69,0.3,1.58,6.3
5,16,0.23,4.81,2.23,0.38,1.55,11.58
5,17,-0.84,3.18,3.2,0.3,1.55,5.42
5,18,-0.61,4.26,2.63,0.21,1.59,9.26
5,19,-0.42,3.23,3.48,0.29,1.65,5.31
5,20,-0.89,2.75,2.52,0.38,1.69,4.18
5,21,-0.47,2.86,3.22,0.36,1.67,4.21
5,22,1.83,3.91,2.46,0.29,1.6,9.33
5,23,1.17,3.71,2.72,0.26,1.51,7.56
5,24,3.61,4.54,2.83,0.27,1.45,16.82
5,25,1.45,2.23,3.96,0.37,1.43,3.55
5,26,1.64,2.01,2.88,0.23,1.46,3.36
5,27,0.94,2.46,2.83,0.24,1.51,3.46
5,28,0.7,1.97,3.11,0.24,1.55,2.2
5,29,0.56,2.23,2.9,0.34,1.55,2.65
5,30,-0.42,1.76,3.48,0.27,1.51,1.64
5,31,0.7,2.23,2.78,0.3,1.45,2.74
5,32,-0.09,1.7,3.07,0.34,1.41,1.45
5,33,0.23,1.96,3.15,0.39,1.41,1.94
5,34,4.21,3.99,2.18,0.24,1.46,16.85
